id,title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,category,propertySize,longitude,latitude,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,AMV_price
3616120,"Pairc an Aonaigh, Mogeely, Midleton, Co. Cork",premium,2022-02-07,345000,4,3,Semi-D,New Homes,,-8.051393088882037,51.932833887023776,1957,Cronin Wall,Cronin Wall Properties,BRANDED_AGENT,25.0,False,False,False,A2,0
3595320,"Strettel Avenue, Ballitore, Ballitore, Co. Kildare",premium,2022-02-07,280000,3,3,Semi-D,New Homes,,-6.815975010141557,53.00821738601758,893,Kells Office - 003508.,ALLIANCE AUCTIONEERS,BRANDED_AGENT,7.0,False,False,False,A2,0
1151463,"Rath Ullord, New Orchard, Kilkenny, Co. Kilkenny",premium,2022-02-07,429000,4,2,Semi-D,New Homes,,-7.234891523568308,52.67189077477643,2739,Warren McCreery B.Sc. MRICS,"Warren McCreery Auctioneers, Valuers, Estate Agents",BRANDED_AGENT,1.0,False,False,True,A3,0
1146062,"Rath Ullord, New Orchard, Kilkenny, Co. Kilkenny",premium,2022-02-07,469000,4,2,Detached,New Homes,,-7.234891523568308,52.67189077477643,2739,Warren McCreery B.Sc. MRICS,"Warren McCreery Auctioneers, Valuers, Estate Agents",BRANDED_AGENT,7.0,False,False,True,A3,0
2753310,"Rath Ullord, New Orchard, Kilkenny, Co. Kilkenny",premium,2022-02-07,469000,4,3,Detached,New Homes,,-7.234891523568308,52.67189077477643,2739,Warren McCreery B.Sc. MRICS,"Warren McCreery Auctioneers, Valuers, Estate Agents",BRANDED_AGENT,1.0,False,False,True,A2,0
1478753,"Rath Ullord, New Orchard, Kilkenny, Co. Kilkenny",premium,2022-02-07,539000,5,3,Detached,New Homes,,-7.234891523568308,52.67189077477643,2739,Warren McCreery B.Sc. MRICS,"Warren McCreery Auctioneers, Valuers, Estate Agents",BRANDED_AGENT,29.0,False,True,True,A3,0
2599493,"Castleview, Williamstown Road, Co. Waterford",premium,2022-02-07,645000,4,4,Detached,New Homes,,-7.065116154398595,52.230281388673234,7546,Thomas Reid MIPAV MMCEPI PSRA Lic. No. 004069 - 007868,DNG Reid & Coppinger,BRANDED_AGENT,15.0,False,False,True,A2,0
2599494,"Castleview, Williamstown Road, Co. Waterford",premium,2022-02-07,685000,5,4,Detached,New Homes,,-7.065116154398595,52.230281388673234,7546,Thomas Reid MIPAV MMCEPI PSRA Lic. No. 004069 - 007868,DNG Reid & Coppinger,BRANDED_AGENT,10.0,False,False,True,A2,0
3589598,"Maryborough Village, Portlaoise, Co. Laois",standard,2021-12-30,275000,3,3,End of Terrace,New Homes,,-7.325866782299499,53.03804794639119,2746,John Dunne,Hume Auctioneers,BRANDED_AGENT,53.0,False,False,False,A3,0
1492836,"Maryborough Village, Portlaoise, Co. Laois",standard,2021-12-30,300000,3,3,Semi-D,New Homes,,-7.325866782299499,53.03804794639119,2746,John Dunne,Hume Auctioneers,BRANDED_AGENT,56.0,True,False,False,A3,0
3589600,"Maryborough Village, Portlaoise, Co. Laois",standard,2021-12-30,375000,4,2,Bungalow,New Homes,,-7.325866782299499,53.03804794639119,2746,John Dunne,Hume Auctioneers,BRANDED_AGENT,50.0,False,False,False,A3,0
3702454,"33a Castle Manor, Roscommon Town, Co. Roscommon",basic,2022-02-07,240000,3,1,Houses,New Homes,,-8.200703465378183,53.64182393707313,11754,Cormac Sheehy,Remax Team Earley,BRANDED_AGENT,4.0,False,False,False,A1,0
3698991,"Curragh Ard, Kanturk, Co. Cork",basic,2022-02-02,325000,4,1,Houses,New Homes,,-8.910354431987855,52.17688763239059,3948,DNG John Ryan,DNG John Ryan,BRANDED_AGENT,8.0,True,False,False,A2,0
3697424,"Annagual View, Eadestown, Naas, Co. Kildare",basic,2022-02-01,750000,4,1,Houses,New Homes,,-6.571819175729502,53.20709792711162,2608,J.P. & M Doyle Terenure,J. P. & M. Doyle,BRANDED_AGENT,19.0,False,False,False,XXX,0
2610279,"Ledwill Park, Ledwill Park, Kilcock, Co. Kildare",basic,2022-02-07,415000,3,1,Houses,New Homes,,-6.665098,53.394309,924,Eamon O'Flaherty,Sherry Fitzgerald Brady O'Flaherty,BRANDED_AGENT,28.0,True,False,False,A3,0
3579620,"New Build, Ahiohill, Clonakilty, Co. Cork",basic,2021-11-15,495000,4,1,Houses,New Homes,,-8.884942234300496,51.70610752357007,2588,Andy Donoghue,Hodnett Forde Property Services,BRANDED_AGENT,23.0,False,False,False,A3,0
1442020,"Beechpark, Beechpark, Cabinteely, Dublin 18",basic,2022-02-07,750000,4,1,Houses,New Homes,,-6.145767,53.255909,9634,Angela McCabe,Sherry FitzGerald New Homes,BRANDED_AGENT,16.0,False,False,False,A2,0
3646674,"Bregawn, Cashel, Co. Tipperary",basic,2022-01-26,300000,4,1,Houses,New Homes,,-7.88078146966356,52.51311106398748,2829,Dermot Power,Power & Walsh,UNBRANDED_AGENT,2.0,False,False,False,A2,0
3646643,"Bregawn Estate, Cashel, Co. Tipperary",basic,2022-02-07,300000,4,1,Houses,New Homes,,-7.8803212803708504,52.51456984557922,9211,Nicholas Maher,Maher Auctioneers,BRANDED_AGENT,14.0,False,False,False,XXX,0
3169867,"Barraduff , Killarney, Co. Kerry",basic,2022-02-07,285000,3,1,Houses,New Homes,,-9.464114008683936,52.05408715355304,1918,Darragh O Se,Property Partners Daly O'Se,UNBRANDED_AGENT,21.0,False,False,False,A2,0
3642398,"Lahinch Court, School Road V95DA3W, Lahinch, Co. Clare",basic,2021-12-02,510000,4,1,Houses,New Homes,,-9.342051045346977,52.93058563491846,2548,David Costelloe,Costelloe Estate Agents,BRANDED_AGENT,6.0,False,False,False,A2,0
